name,battery,price,color,link,backResol,ID,frontResol,rom
"
                                      ,
                                    三星 W2016 金色 电信4G手机 双卡双待单通  全新原装+正品 尊贵金                ",2000mAh-2999mAh,9999,,//item.jd.com/1980339846.html,,1980339846,,3GB
"
                                    三星（SAMSUNG） 三星（SAMSUNG ）C8手机 全网通版(C7100) 墨玉黑 4GB+64GB                ",3000mAh-3999mAh,2399,"枫叶金,墨玉黑,蔷薇粉",//item.jd.com/25792240167.html,1200万-1999万,25792240167,1600万及以上,
"
                                      ,
                                    【eBay精选】三星 Galaxy Note 5 N9200 S6963 金色智能手机                ",2000mAh-2999mAh,10194,,//item.jd.com/1964269648.html,,1964269648,1600万及以上,4GB
"
                                    三星（SAMSUNG） 三星 Galaxy S9（SM-G9600）移动联通电信4G手机 谜夜黑 4GB+64name,battery,price,color,link,backResol,ID,frontResol,rom
",,,,,,,,
"                                    三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000）双卡双待4G手机 枫叶金 全网通(6G+64G)                """,4000mAh-5999mAh,2499,"墨玉黑,蔷薇粉,枫叶金",//item.jd.com/11136949111.html,1200万-1999万,11136949111,1600万及以上,6GB
"
                                    【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,6699,,//item.jd.com/6626042.html,1200万-1999万,6626042,800万-1599万,6GB
"
                                    三星 Galaxy C5（SM-C5000）4GB+32GB 枫叶金 移动联通电信4G手机 双卡双待                ",2000mAh-2999mAh,1299,"金,银,粉,灰",//item.jd.com/2868393.html,1200万-1999万,2868393,800万-1599万,4GB
"
                                    【电信赠费版】三星 Galaxy S9（SM-G9608/DS）4GB+64GB 谜夜黑 移动4G+手机 双卡双待                ",3000mAh-3999mAh,5799,,//item.jd.com/6839499.html,1200万-1999万,6839499,800万-1599万,4GB
"
                                    三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,4999,"谜夜黑,烟晶灰,雾屿蓝,芭比粉,勃艮第红,绮梦金",//item.jd.com/4120319.html,1200万-1999万,4120319,800万-1599万,4GB
"
                                    三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,7388,"谜夜黑,旷野灰,星河蓝,芭比粉",//item.jd.com/5424574.html,1200万-1999万,5424574,800万-1599万,6GB
"
                                    三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,6988,"谜夜黑,旷野灰,星河蓝",//item.jd.com/4934609.html,1200万-1999万,4934609,800万-1599万,6GB
"
                                    三星Galaxy S8 4G+智版（SM-G9508）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,4999,"黑色,灰色",//item.jd.com/5996357.html,1200万-1999万,5996357,800万-1599万,4GB
"
                                    三星（SAMSUNG） 三星 Galaxy J3 （J3300 移动联通电信4G手机 金色 3GB+32GB                ",,999,"黑色,金色,蓝色",//item.jd.com/25789985324.html,1200万-1999万,25789985324,500万-799万,
"
                                      ,
                                    三星（SAMSUNG） 三星(SAMSUNG) S8 曲面屏5.8寸/港版/韩版/海外版 港版 双卡 全网通 兰花灰 64GB                ",3000mAh-3999mAh,3988,"港版 双卡 全网通,韩版 单卡 移动联通,海外版 双卡",//item.jd.com/1986418443.html,,1986418443,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy On5（G5500）移动联通双4G 智能老人机手机 香槟金 8G                ",2000mAh-2999mAh,779,"香槟金,白色",//item.jd.com/25351395680.html,500万-1199万,25351395680,500万-799万,2GB以下
"
                                      ,
                                    三星（SAMSUNG） S8/S8+双曲屏 安卓智能手机4GB+64G/6GB+64G 幻紫灰 s8+（亚太版64G）                ",3000mAh-3999mAh,4499,"枫叶金,幻紫灰,星夜黑,雾屿蓝,亮银色,瑰蜜粉,勃艮第红",//item.jd.com/1985712874.html,1200万-1999万,1985712874,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy C5（C5000）全网通4G智能手机  双卡双待 烟雨灰（4G+32G）                ",2000mAh-2999mAh,1399,"枫叶金（4G+32G）,皎洁银（4G+32G）,蔷薇粉（4G+32G）,烟雨灰（4G+32G）",//item.jd.com/25626673961.html,1200万-1999万,25626673961,800万-1599万,4GB
"
                                    三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,6299,"谜夜黑,烟晶灰,勃艮第红",//item.jd.com/4938578.html,1200万-1999万,4938578,800万-1599万,6GB
"
                                    三星 Galaxy Folder2 （SM-G1650）2GB+16GB 琉璃黑 移动联通电信4G翻盖手机 双卡双待                ",1200mAh-1999mAh,1799,"黑色,碧玺红,金色",//item.jd.com/5272045.html,500万-1199万,5272045,500万-799万,2GB
"
                                      ,
                                    三星（SAMSUNG） SAMSUNG 三星 G5700  5英寸 4G智能手机 金色 3GB+32GB                ",2000mAh-2999mAh,1450,"金色,粉色,黑色",//item.jd.com/23946496003.html,1200万-1999万,23946496003,800万-1599万,3GB
"
                                    三星（SAMSUNG） C7 Pro（C7010）手机 枫叶金 全网通(4G RAM+64G ROM)标配                ",3000mAh-3999mAh,1899,"枫叶金,苍海蓝,蔷薇粉",//item.jd.com/11250648644.html,1200万-1999万,11250648644,1600万及以上,4GB
"
                                    三星 Galaxy J3 （J3300）3GB+32GB 流沙金 移动联通电信4G手机 双卡双待                ",2000mAh-2999mAh,999,"金,黑,粉,蓝",//item.jd.com/4571445.html,,4571445,,
"
                                      ,
                                    三星 Galaxy J3 Pro（J3110）银色 移动联通双4G手机 全新原装+正品 金色                ",2000mAh-2999mAh,899,"金色,银色",//item.jd.com/1980338876.html,,1980338876,,2GB
"
                                    三星（SAMSUNG） Galaxy J3 手机 雪夜黑 全网通(三星J3300) 32GB                ",2000mAh-2999mAh,918,"流沙金,嫣霞粉,凝霜蓝,雪夜黑",//item.jd.com/15227006253.html,1200万-1999万,15227006253,500万-799万,3GB
"
                                      ,
                                    锐族 R2015老人机 电信2G翻盖老人手机 红色                ",,299,"红色,金色,黑色",//item.jd.com/20902840426.html,,20902840426,,
"
                                      ,
                                    Samsung/三星 GT-E1200R老人机手机 手机老人机移动 手机联通直板                ",1200mAh以下,178,,//item.jd.com/1988250758.html,,1988250758,,
"
                                    三星（SAMSUNG） Galaxy On5（G5500） 移动联通4G 智能老人机手机 流沙金 8G                ",2000mAh-2999mAh,779,"流沙金,月莹白",//item.jd.com/13018252140.html,500万-1199万,13018252140,500万-799万,2GB以下
"
                                    三星（SAMSUNG） 三星 Galaxy J3 （J3300） 全网通4G智能手机 雪夜黑  32G                ",2000mAh-2999mAh,948,"流沙金  32G,雪夜黑  32G,嫣霞粉  32G,凝霜蓝  32G",//item.jd.com/25861334968.html,1200万-1999万,25861334968,500万-799万,3GB
"
                                      ,
                                    三星（SAMSUNG） 移动联通三星 GT-E1200R直板按键学生老人机备用手机                ",1200mAh以下,199,,//item.jd.com/20856141316.html,无,20856141316,无,2GB以下
"
                                      ,
                                    三星（SAMSUNG） 现货S9/ S9+ 港版/韩版/海外版  智能手机 面部虹膜识别 黑色 S9 港版64GB                ",3000mAh-3999mAh,4819,"黑色 S9,紫色 S9,蓝色 S9,黑色 S9+,紫色 S9+,蓝色 S9+,选购商品 单拍不发 手机壳",//item.jd.com/25684559583.html,1200万-1999万,25684559583,500万-799万,6GB
"
                                    三星（SAMSUNG） Galaxy C5 Pro（C5010） 碧湖蓝 全网通 4G+64G                ",2000mAh-2999mAh,1688,"碧湖蓝,枫叶金,蔷薇粉,墨玉黑",//item.jd.com/11539073270.html,1200万-1999万,11539073270,1600万及以上,4GB
"
                                      ,
                                    三星（SAMSUNG） 三星 Galaxy S7 edge 智能手机 金色 4GB+64GB 全网通 标配                ",3000mAh-3999mAh,3168,"金色,白色,银色,黑色,蓝色,粉色",//item.jd.com/1976303060.html,,1976303060,500万-799万,4GB
"
                                      ,
                                    三星（Samsung）SM-G3818 移动3G联通电信老人机手机正品触屏大字大声智能预售 3818移动联通版-白色                ",1200mAh以下,399,"3819D电信版-白色,3819D电信版-黑色,3818移动联通版-白色,3818移动联通版-黑色",//item.jd.com/1995421823.html,,1995421823,,
"
                                    三星（SAMSUNG） 三星 Galaxy C8 手机 墨玉黑 全网通(4GRAM+64GROM)标配                ",3000mAh-3999mAh,1708,"蔷薇粉,枫叶金,墨玉黑",//item.jd.com/16371954029.html,,16371954029,1600万及以上,4GB
"
                                      ,
                                    三星（SAMSUNG） galaxy s9/s9+全视曲面屏安卓手机 黑色S9 64G（港版）                ",,4868,"黑色S9,紫色S9,蓝色S9,黑色S9+,紫色S9+,蓝色S9+",//item.jd.com/25931239308.html,1200万-1999万,25931239308,800万-1599万,
"
                                      ,
                                    现货老人机 M560直板老人按键手机 大字大声电信老年机超长待机移动老人机 红色 移动联通双卡版                ",,159,"红色,金色,白色,黑色",//item.jd.com/20338978761.html,,20338978761,,
"
                                    三星（SAMSUNG） 三星W2016 双卡双待 4G手机 尊贵金 电信4G(3GRAM+64GROM)                ",2000mAh-2999mAh,4858,"尊崇银,尊贵金",//item.jd.com/10129145921.html,1200万-1999万,10129145921,500万-799万,3GB
"
                                    三星（SAMSUNG） W2016双卡双待 翻盖智能4G手机 尊贵金 电信4G标配版                ",2000mAh-2999mAh,4858,"尊贵金,尊崇银",//item.jd.com/10125995359.html,1200万-1999万,10125995359,500万-799万,3GB
"
                                    三星（SAMSUNG） W2016 翻盖智能商务手机 双卡双待 电信4G 尊贵金 (3GRAM+64GROM)                ",2000mAh-2999mAh,5480,"尊崇银(3GRAM+64GROM),尊贵金 (3GRAM+64GROM)",//item.jd.com/11277567982.html,1200万-1999万,11277567982,500万-799万,3GB
"
                                    三星（SAMSUNG） W2017 翻盖智能商务手机 双卡双待 电信4G 尊崇黑 (4GRAM+64GROM)                ",2000mAh-2999mAh,9960,"尊崇黑 (4GRAM+64GROM),尊贵金 (4GRAM+64GROM)",//item.jd.com/11365542040.html,1200万-1999万,11365542040,500万-799万,4GB
"
                                    三星（SAMSUNG） Galaxy C9 pro（C9000） 全网通 4G手机 墨玉黑 6GB+64GB                ",4000mAh-5999mAh,2458,"枫叶金,蔷薇粉,墨玉黑",//item.jd.com/23270134342.html,,23270134342,1600万及以上,6GB
"
                                      ,
                                    三星（SAMSUNG） 全新S8/S8+ Plus 手机 双曲屏 面部识别虹膜 智能手机 幻紫灰 S8 (4GB+64GB)港版双卡全网通4G                ",3000mAh-3999mAh,3888,"枫叶金,幻紫灰,星夜黑,亮银色,珊瑚蓝,瑰蜜粉,酒红色",//item.jd.com/1995274685.html,1200万-1999万,1995274685,800万-1599万,6GB
"
                                    三星（SAMSUNG） W2017 翻盖手机 黑色 电信4G版(4G+64G)标配                ",2000mAh-2999mAh,8988,"金色,黑色",//item.jd.com/11027840561.html,1200万-1999万,11027840561,1600万及以上,4GB
"
                                      ,
                                    三星（Samsung）E-1220直板老人手机移动男女性小巧长待机大声大字                 ",1200mAh以下,99,,//item.jd.com/1990175413.html,,1990175413,,
"
                                    三星（SAMSUNG） Galaxy C7（SM-C7000）移动联通电信4G手机 枫叶金 全网通(4G+32G)                ",3000mAh-3999mAh,1528,"蔷薇粉,枫叶金,烟雨灰,皎洁银",//item.jd.com/14506499846.html,1200万-1999万,14506499846,800万-1599万,4GB
"
                                      ,
                                    SAMSUNG （三星）Galaxy S9/S9+ 移动联通电信全网通4G曲面屏双卡智能手机 转换头单独不发货                ",,39,"S9 夕雾紫 4G+64G（港版）,S9 谜夜黑 4G+64G（港版）预售,S9 莱茵蓝 4G+64G（亚太版）,S9 夕雾紫 4G+64G（亚太版）,S9 谜夜黑 4G+64G（亚太版）,S9 莱茵蓝 4G+64G（港版）,S9+ 夕雾紫 6G+64G（港版）,S9+ 谜夜黑 6G+64G（港版）,S9+ 莱茵蓝 6G+64G（港版）,S9+ 夕雾紫 6G+128G（港版）,S9+ 谜夜黑 6G+128G（港版）,S9+ 莱茵蓝 6G+128G（港版）,S9+ 夕雾紫 6G+256G（港版）,S9+ 谜夜黑 6G+256G（港版）,S9+ 莱茵蓝 6G+256G（港版）,转换头单独不发货,S9+ 夕雾紫 6G+64G（亚太版）,S9+ 谜夜黑 6G+64G（亚太版）,S9+ 莱茵蓝 6G+64G（亚太版）",//item.jd.com/26624267586.html,,26624267586,,
"
                                    三星（SAMSUNG） C7 (SM-C7000) 全网通4G 智能手机 枫叶金 32G 官方标配                ",3000mAh-3999mAh,1568,"烟雨灰,蔷薇粉,枫叶金,皎洁银",//item.jd.com/11263699823.html,1200万-1999万,11263699823,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy S7(G9300) 4G手机 铂光金 全网通(4G+32G)                ",3000mAh-3999mAh,2449,"铂光金+倍斯特10000毫安移动电源,铂光金,雪晶白",//item.jd.com/11633379787.html,1200万-1999万,11633379787,500万-799万,4GB
"
                                    三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）                ",4000mAh-5999mAh,2699,"枫叶金（6G+64G）,蔷薇粉（6G+64G）,墨玉黑（6G+64G）",//item.jd.com/16506236156.html,1200万-1999万,16506236156,1600万及以上,6GB
"
                                    三星（SAMSUNG） Galaxy J3 手机 黑色 全网通(三星J3300) 32G                ",2000mAh-2999mAh,902,"金色,黑色,粉色,蓝色",//item.jd.com/14276207190.html,1200万-1999万,14276207190,500万-799万,3GB
"
                                      ,
                                    三星（SAMSUNG） GALAXY S8/S8+手机 双曲屏 面部识别虹膜 智能手机 幻紫灰 S8（4GB+64GB）港版双卡全网通4G                ",3000mAh-3999mAh,3949,"枫叶金,幻紫灰,星夜黑,珊瑚蓝,闺蜜粉",//item.jd.com/23006665972.html,1200万-1999万,23006665972,800万-1599万,4GB
"
                                      ,
                                    三星（SAMSUNG） 新品 三星 GALAXY S9/S9+ 全网通4G 三星港版手机 谜夜黑 港版s9 全网 64GB                ",,4819,"谜夜黑,夕雾紫,莱茵蓝",//item.jd.com/26215059003.html,,26215059003,无,
"
                                      ,
                                    SAMSUNG 【港版】三星Galaxy s8+/S9移动联通电信4G三网手机 双卡双待 s8+星夜黑 港版-128G(带发票-可联保)                ",3000mAh-3999mAh,5199,"s8+星夜黑,s8+幻紫灰,s8+珊瑚蓝,s8+瑰丽粉,s8+醇酒红,s8枫木金,s8幻紫灰,s8瑰丽粉,s9黑色,s9紫色,s9+黑色,s9+紫色,s9+蓝色",//item.jd.com/1996266686.html,1200万-1999万,1996266686,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy J3 （SM-J3300）手机 流沙金 全网通（3G+32G）                ",2000mAh-2999mAh,899,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",//item.jd.com/21947234219.html,1200万-1999万,21947234219,500万-799万,3GB
"
                                    三星（SAMSUNG） C5Pro Galaxy（C5010） 碧湖蓝 全网通4G(4G+64G)                ",2000mAh-2999mAh,1696,"碧湖蓝,蔷薇粉,枫叶金,墨玉黑",//item.jd.com/11693728805.html,1200万-1999万,11693728805,1600万及以上,4GB
"
                                    三星（SAMSUNG） Galaxy C9 Pro（C9000） 墨玉黑 全网通6G+64G                ",4000mAh-5999mAh,2499,"蔷薇粉,墨玉黑,枫叶金",//item.jd.com/14149083337.html,1200万-1999万,14149083337,1600万及以上,6GB
"
                                    三星（SAMSUNG） 三星 Galaxy C9 pro（C9000）手机 蔷薇粉 全网通(6G+64G)                ",4000mAh-5999mAh,2228,"枫叶金,蔷薇粉,墨玉黑",//item.jd.com/11056931508.html,1200万-1999万,11056931508,1600万及以上,6GB
"
                                      ,
                                    SAMSUNG/三星 SCH-E339直板电信学生大声大字单卡老人手机 339电信版 三星E339                ",,199,,//item.jd.com/20109515573.html,,20109515573,,
"
                                      ,
                                    三星（Samsung）E-1220直板老人手机移动男女性小巧长待机大声大字 黑色                ",1200mAh以下,99,,//item.jd.com/1988259113.html,,1988259113,无,
"
                                    三星（SAMSUNG） Galaxy J3 （J3300）手机 流沙金 全网通 3GB+32GB                ",,975,"流沙金,雪夜黑,嫣霞粉,凝霜蓝",//item.jd.com/26715601453.html,1200万-1999万,26715601453,500万-799万,
"
                                      ,
                                    三星（Samsung）老人机直板男女款移动联通 E329电信3210移动 长待机老年人手机 电信版E329                ",1200mAh以下,188,"电信版E329,E3210移动联通版",//item.jd.com/1996161845.html,,1996161845,,
"
                                    三星（SAMSUNG） Galaxy C5（SM-C5000）移动联通电信4G手机 枫叶金 32G                ",2000mAh-2999mAh,1399,,//item.jd.com/26436200781.html,1200万-1999万,26436200781,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy C8（SM-C7100）手机 枫叶金 全网通 3GB+32GB                ",3000mAh-3999mAh,1478,"墨玉黑,枫叶金,蔷薇粉",//item.jd.com/26718353902.html,1200万-1999万,26718353902,1600万及以上,3GB
"
                                    三星（SAMSUNG） Galaxy J3（J3300） 手机 雪夜黑 全网通(3GB+32GB)                ",2000mAh-2999mAh,958,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",//item.jd.com/26470072969.html,1200万-1999万,26470072969,500万-799万,3GB
